情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -6.005	بۇمۇ=P=بۇ تارىخقا=N=تارىخ يېزىلغۇسى=V=ياز ۋە=R=ۋە بۇ=P=بۇ ناكەسلەر=V=ناكەس قاتتىق=A=قاتتىق جازاغا=N=جازا تارتىلغۇسى=N=تارت ئىنشائاللاھ=N=ئىنشائاللاھ .=N=.
情感分数 = -6.0	مۇشۇلارنى=P=مۇشۇ سەھنىگە=N=سەھنە چىقارغان=V=چىق قارنى=N=قارنى پوق=N=پوق بىلەن=R=بىلەن توشۇپ=V=توش كەتكەن=V=كەت يوغان=A=يوغان قورساقلارغا=N=قورساق پۇل=N=پۇل بەرسە=V=بەر ئۇيالماستىن=V=ئۇيال ئۆزىنى=P=ئۆز بازارغا=N=بازار سالىدىغان=V=سال ھېلىقىلاردىن=N=ھېلىقى پەرقى=N=پەرق يوق=A=يوق رەققاسلارغا=A=رەققاس لەنەت=A=لەنەت
情感分数 = -6.0	ۋىرۇس=N=ۋىرۇس دەپ=V=دە يۇيۋىتىپ=N=يۇي بارىدۇ=V=بار ،=N=، دەيمە=V=دەيمە ئۇ=P=ئۇ ساقلاندى=V=ساقلا گۇي=N=گۇي !=N=!
情感分数 = -6.0	مىنىڭ=N=مەن كۈدۈكۈم=V=كۈدۈكۈم نىمىشقا=P=نىمىشقا بىكادىن=V=بىكادىن بىكا=N=بىكا پات=A=پات پات=A=پات ئۆچۈپ=V=ئۆچ قالىدۇ=V=قال ؟=N=؟
情感分数 = -6.0	كۈندە=N=كۈندە نالە=N=نالە يىغا=V=يىغا شۇ=P=شۇ سەۋەبتىن=N=سەۋەب لىكىن=R=لىكىن ئۈن=N=ئۈن يوق=A=يوق پەرزەنتىنىڭ=N=پەرزەنت ھىچ=P=ھىچ تەرەپتىن=N=تەرەپ
情感分数 = -6.0	دىگەندەك=V=دە بىرنىمىلەرنى=N=بىرنىمە تاقىۋالغان=V=تاقا ئوغۇللارنى=N=ئوغۇل كۆرسەم=V=كۆر تىلىنى=N=تىل چىقىرىپ=V=چىق شۆلگىيىنى=N=شۆلگەي ئېقىتىپ=V=ئاق تۇرغان=V=تۇر مەينەت=A=مەينەت تۈكلۈك=A=تۈكلۈك غالجىر=A=غالجىر ئىت=N=ئىت كۆز=N=كۆز ئالدىمغا=N=ئالدى كىلىدۇ=V=كەل
情感分数 = -6.0	بۇنداق=P=بۇنداق ئىشلار=N=ئىش ماڭدامدا=Q=ماڭدام بىر=M=بىر ئۇچراپ=V=ئۇچرا تۇرىدۇ=V=تۇر ،=V=، ھەي=E=ھەي قاچانمۇ=P=قاچان ئوڭشىلار=V=ئوڭشا بۇ=P=بۇ جاھان=N=جاھان ،=N=، پەلەك=N=پەلەك قاچانمۇ=P=قاچان بىز=P=بىز ئۇچۈن=V=ئۇچۈن چۆرگىلەر=N=چۆرگە
情感分数 = -6.0	بۇ=P=بۇ ئېنىمىز=N=ئېنىم كېسەل=N=كېسەل سەۋەبى=N=سەۋەب بىلەن=R=بىلەن ۋاپات=N=ۋاپات قېلىپتىمۇ=V=قېلىپ يە=R=يە بىرە=M=بىر ھادىسە=N=ھادىسە بىلەنمۇ=R=بىلەن ؟=N=؟
情感分数 = -6.0	شەيتان=N=شەيتان دىنىنىڭ=N=دىن بەلگىسى=N=بەلگە تەتۈر=A=تەتۈر بەشۋار=N=بەشۋار ئىكەندە=N=ئىكەن نەس=A=نەس باسقۇرلار=V=باس !=N=!
情感分数 = -6.0	ھەممە=P=ھەممە ئادەم=N=ئادەم ئۆزى=P=ئۆز تاللىغان=V=تاللا ساھەدە=N=ساھە ئۇتۇق=A=ئۇتۇق قازىنالىسىدى=V=قازان بەك=D=بەك ياخشى=A=ياخشى بولغان=V=بول بولاتتى=V=بول  لېكىن=C=لېكىن مېنىڭچە=P=مەن  گەرچە=V=گەرچە بىز=P=بىز مەغلۇپ=A=مەغلۇپ بولغان=V=بول ۋە=C=ۋە ھېچ=P=ھېچ ئىشنى=N=ئىش قىلالمىغان=V=قىل تەقدىردىمۇ=N=تەقدىر ئۆزىمىز=P=ئۆز قىلالمىغان=V=قىل ئىشلارنى=N=ئىش ۋۇجۇدقا=N=ۋۇجۇد چىقارغۇچى=V=چىق ئاشۇ=P=ئاشۇ كىشىلەر=N=كىشى ئۈچۈن=C=ئۈچۈن دۇئا=N=دۇئا قىلىساق=N=قىل  قۇۋەتلىسەك=V=قۇۋەتلە تامامەن=D=تامامەن بولىدۇ=V=بول ھەم=C=ھەم بۇ=Y=بۇ بىزنىڭ=P=بىز بۇرچىمىز=N=بۇرچ
情感分数 = -6.0	خەلق=N=خەلق قانچە=P=قانچە نادان=A=نادان بولسا=V=بول ،=N=، پىتنە=N=پىتنە پاسات=V=پاسات شۇنچە=P=شۇنچە كۆپ=A=كۆپ بولىدۇ=V=بول ،=V=، شۇنچە=P=شۇنچە تېز=A=تېز تارقىلىدۇ=V=تارقال .=N=.
情感分数 = -6.0	نومۇس=N=نومۇس نومۇس=N=نومۇس ئىنسانىيەتكە=N=ئىنسانىيەت ئىنسانىلىققا=N=ئىنسان قىلىنغان=V=قىل نومۇس=N=نومۇس !=N=!
情感分数 = -6.0	ئىلىمسىز=A=ئىلىمسىز ئەل=N=ئەل ئۆزگىلەرگە=N=ئۆزگە يەم=N=يەم بولۇپ=V=بول ئۇلارنىڭ=P=ئۇلار ئايىغى=N=ئاياغ ئاستىدا=N=ئاستى يانجىلىدۇ=V=يانجىل
情感分数 = -6.0	ئەتىگەندە=P=ئەتىگەن بىسمىللا=N=بىسمىللا دېمەي=V=دە تۇرۇپلا=V=تۇر ئىككى=M=ئىككى ياشلىق=N=ياش ئوغلۇمدىن=N=ئوغۇل كۆزۈمگە=N=كۆز بىر=M=بىر شاپىلاق=N=شاپىلاق يېگەن=V=يە ئىدىم=V=ئىدى تاس=D=تاس قاپتۇ=V=قاپتۇ چاتاق=A=چاتاق چىققىلى=V=چىق
情感分数 = -5.865	باشقىلار=A=باشقا ناھەقچىلىككە=N=ناھەق ئۇچرىسا=V=ئۇچرا تاماشا=N=تاماشا كۆرۈش=V=كۆر ،=N=، سۈكۈت=N=سۈكۈت قىلىش=V=قىل ناھەقچىلىكنىڭ=N=ناھەق يامراپ=V=يامرا كېتىشىگە=V=كەت تېخىمۇ=D=تېخىمۇ قۇلايلىقلارنى=N=قۇلاي ئېلىپ=V=ئال كېلىدۇ=V=كەل .=N=.
情感分数 = -5.8600006	سىز=P=سىز مەيلى=N=مەيلى قانچىلىك=P=قانچە شانلىق=A=شانلىق تارىخ=N=تارىخ يارىتىڭ=V=يارات بىر=M=بىر قېتىملىق=A=قېتىملىق مەغلۇبىيىتىڭىز=N=مەغلۇبىيەت بارلىق=P=بارلىق ئادەملەرگە=N=ئادەم تاماشا=N=تاماشا بۇلۇپ=V=بول يەر=N=يەر بىلەن=R=بىلەن يەكسەن=N=يەكسەن بۇلىدىكەنسىز=V=بۇل مۇۋاپىقىيەت=N=مۇۋاپىقىيەت ئىگىسى=N=ئىگە بۇلۇش=V=بول بەك=D=بەك قىيىن=A=قىيىن
情感分数 = -5.8600006	مۇشۇ=P=مۇشۇ بىز=P=بىز ئۇيغۇرلار=N=ئۇيغۇر دەپ=V=دە گەپ=N=گەپ باشلىغانلارغا=V=باشلا مەن=P=مەن بەك=D=بەك ئۆچ=A=ئۆچ ئۇيغۇر=N=ئۇيغۇر ئۇنداق=P=ئۇنداق ئۇيغۇر=N=ئۇيغۇر مۇنداق=P=مۇنداق دەپ=V=دە سۆكۈپ=V=سۆك شىنجاڭ=N=شىنجاڭ مەدەنيىتىگە=N=مەدەنيەت ماقالە=N=ماقالە يازغانلارنى=V=ياز تېخىمۇ=D=تېخىمۇ كۆزگە=N=كۆز ئىلمايمەن=V=ئىل مىللىتىنى=N=مىللەت سۆكۈپ=V=سۆك پۇل=N=پۇل تېپىشتىنمۇ=V=تېپىش ئۆتە=V=ئۆت ئىپلاسلىق=A=ئىپلاسلىق بولمىسا=V=بول كېرەك=A=كېرەك
情感分数 = -5.8600006	راس=N=راس ،=V=، بۇ=P=بۇ ئىشتا=N=ئىش زادى=D=زادى مەسئۇلىيەتسىزلىك=N=مەسئۇلىيەتسىز بولدى=V=بول ،=N=، پۇلنىڭ=N=پۇل قۇلى=N=قۇل بولغان=V=بول بىچارىلەر=A=بىچارە بىزنىڭ=P=بىز ناتىۋانلىرىمىزنى=V=ناتىۋان ئۆز=P=ئۆز قولى=N=قول بىلەن=R=بىلەن نابۇت=A=نابۇت قىلىۋاتىدۇ=V=قىل .=N=.
情感分数 = -5.7200003	مۇشۇ=P=مۇشۇ تور=N=تور بەتتە=N=بەت باغۇ=V=با ۋىجدانىنى=N=ۋىجدان ئىت=N=ئىت يەپ=V=يە كەتكەن=V=كەت بىرنىمىلەر=P=بىرنىمە پۇل=N=پۇل بايلىقنىڭ=N=بايلىق قۇللىرى=N=قۇل ئىمانسىز=A=ئىمانسىز بىرنىمىلەر=P=بىرنىمە كۆپكەن=V=كۆپ دەيمەن=V=دە !=N=!
情感分数 = -5.7200003	ئۇلار=N=ئۇلار بىزگە=P=بىز ئىتتىپاقسىزلىق=N=ئىتتىپاقسىز ۋاباسىنى=N=ۋابا چېچىپ=V=چاچ ،=V=، ئۆز=P=ئۆز قولىمىز=N=قول بىلەن=R=بىلەن قېنىمىزنى=N=قان تۆككۈچى=N=تۆك خۇنخورلاردۇر=N=خۇنخور .=N=.
情感分数 = -5.7200003	ئويلاپ=V=ئويلا قالدىمدە=V=قال بەزى=P=بەزى بىر=M=بىر ئۇيغۇرچە=N=ئۇيغۇرچە يېمەكلىكلەرنى=N=يېمەكلىك باللارغا=N=بال ئېلىپ=V=ئال بېردىكەنمىز=N=بەر ،=V=، ئەمما=R=ئەمما ئۇنىڭ=P=ئۇنىڭ مەنبەسىنى=N=مەنبە ئۇققان=V=ئۇق ھالدا=N=ھال باللىرىمىزغا=N=بال يىدۈرۈشكە=V=يە تۈگۈل=T=تۈگۈل يېقىن=A=يېقىن كەلتۈرۈشكىمۇ=N=كەل بولمايدىغىنىنى=N=بولمايدۇ ھېس=N=ھېس قىلسىز=N=قىل .=N=.
情感分数 = -5.72	يېقىنلىرىمنىڭ=V=يېقىن ۋە=R=ۋە خېرىدارلىرىمنىڭ=N=خېرىدار ئىشەنچىسىنى=N=ئىشەنچ يەردە=N=يەر قۇيۇپ=V=قۇي ،=V=، ئۇلارنىڭ=P=ئۇلار بلوگلىرىنىمۇ=V=بلوگ تەڭ=A=تەڭ بالاغا=N=بالا تىققانلىقىمدىن=N=تىق ئاخشام=N=ئاخشام ئۇيقۇم=N=ئۇيقۇ بۇزۇلدى=V=بۇز ،=N=، ئاچچىقتىن=N=ئاچچىق يېرىلالماي=N=يېرىل ،=N=، خورلۇقتىن=N=خورلۇق يېغلىيالماي=N=يىغلا تۇرىمەن=V=تۇر ،=V=، ماڭا=P=مەن تېلىفون=V=تېلىفون قىلماڭلا=N=قىل ،=N=، ئۆزەمنى=N=ئۆز ئەسلىگە=N=ئەسلى ئەكەلگۈچە=N=ئەپكەل
情感分数 = -5.72	ھەسەتخوردىن=A=ھەسەتخور بەختىڭنى=N=بەخت يوشۇر=N=يوشۇر دەللالدىن=N=دەللال دەردىڭنى=N=دەرد
情感分数 = -5.72	قىلغان=V=قىل خىيانىتىڭلار=N=خىيانەت تارقاتقان=V=تارقات غەيۋەتلىرىڭلار=N=غەيۋەت ھارام=A=ھارام يېگەن=V=يە ھەققىڭلار=N=ھەق چاپلىغان=V=چاپلا تۆھمەتلىرىڭلار=N=تۆھمەت بارچە=P=بارچە بەندىلەردىن=N=بەندە ھېساپ=N=ھېساپ ئالىدىغان=V=ئال كۈنى=N=كۈن بوينۇڭلارغا=N=بويۇن سىرتماق=N=سىرتماق بولغۇسى=V=بول
情感分数 = -5.5750003	ھەي=E=ھەي تور=N=تور بېكەت=N=بېكەت ياساشمۇ=V=ياسا بەك=D=بەك جاپالىقكەن=A=جاپالىق
情感分数 = -5.5750003	ما=N=ما ئاداشنىڭ=N=ئاداش پەلىپەتىش=A=پەلىپەتىش گېپىدىن=N=گەپ خويمۇ=D=خويمۇ زېرىكتىغۇ=N=زېرىك ئادام=N=ئادا .=N=.
情感分数 = -5.5750003	ئەمما=R=ئەمما ئېقىم=N=ئېقىم دېگەن=V=دە دەھشەت=D=دەھشەت كېتىدىكەن=V=كەت
情感分数 = -5.5699997	راستنى=N=راست ئېيتسام=V=ئېيت خېلى=D=خېلى بولدى=V=بول ئوكيان=N=ئوكيان تورىدىكى=N=تور ئىملا=N=ئىملا خاتالىق=N=خاتا بەكلا=D=بەك كۆپىيىپ=V=كۆپ قالغىلى=V=قال ،=N=، ئىككى-ئۈچ=N=ئىككى-ئۈچ سۆز=N=سۆز بىراقلا=D=بىراقلا تۇتىشىپ=V=تۇتاش چىقىۋاتقان=V=چىق ئەھۋاللار=N=ئەھۋال بەك=D=بەك ئېغىر=A=ئېغىر ،=N=، يا=R=يا مېنىڭ=P=مەن تېلفونۇم=V=تېلفون (=N=( كومپىيوتېرىم=N=كومپىيوتېر )=N=) چاتاقمۇ=N=چاتاق بىلمىدىم=V=بىل .=N=.
情感分数 = -5.4400005	سىز=P=سىز غەلبە=N=غەلبە قىلدىڭىز=V=قىل بىراق=R=بىراق ئىگىزگە=N=ئىگىز چىقىۋىلىپ=V=چىق ھېچكىمگە=P=ھېچكىم مەنپەئەت=N=مەنپەئەت بەرمىدىڭىز=V=بەر كىشىلەردىن=N=كىشى گەپنى=N=گەپ ئايىدىڭىز=V=ئايا ئۆزىڭىزنى=P=ئۆز چوڭ=A=چوڭ تۇتتىڭىز=V=تۇت بىلىشىڭىز=V=بىل كىرەككى=N=كىرەك ئاخىرەتتىكى=N=ئاخىرەت ئورنىڭىز=N=ئورۇن جەھەننەمنىڭ=N=جەھەننەم ئەڭ=D=ئەڭ ئاستىنقى=A=ئاستىنقى قەۋىتى=N=قەۋەت
情感分数 = -5.4300003	پەيغەمبەرلىرىمىز=N=پەيغەمبەر گە=X=گە ھاقارەت=A=ھاقارەت قىلىشقا=V=قىل نېمە=P=نېمە ھەددىڭ=N=ھەددى ؟=N=؟
情感分数 = -5.4300003	ئۆچ=A=ئۆچ كۆرگەن=V=كۆر بولسىڭىز=V=بول تۇنجى=M=تۇنجى قېتىم=Q=قېتىم ئۈزۈلۈپ=V=ئۈز كەتكەندىلا=V=كەت ،=A=، ئىككىنچى=M=ئىككىنچى كىرمەيتتىڭىز=N=كىر ،=N=، تىللاپ=V=تىللا تۇرىسىز=V=تۇر ،=N=، كىرىپ=V=كىر تۇرىسىز=V=تۇر .=N=.
情感分数 = -5.4300003	ھەي=E=ھەي چاتاق=A=چاتاق يېرى=N=يەر ۋاقىت=N=ۋاقىت ئۆتۈپ=V=ئۆت كەتسە=V=كەت ئورنىنى=N=ئورن تولدۇرۇۋالغىلى=N=تولدۇر بولمايدۇدە=N=بول .=N=.
情感分数 = -5.4300003	بۇ=P=بۇ يەردىمۇ=N=يەر شۇ=P=شۇ ئادەمنىڭ=N=ئادەم زىتىغا=N=زىت تېگىدىغانلاردىن=N=تەگ بىر=M=بىر ئىككىسى=M=ئىككىسى بارمۇ=A=بار نېمە=P=نېمە ۋوججون=N=ۋوججون !=N=!
情感分数 = -5.4300003	مۇلازىمىتېرىمىزدىن=N=مۇلازىمىتېر چاتاق=A=چاتاق چىقىپ=V=چىق ھەجەپ=N=ھەجەپ ئىچىم=N=ئىچ سىقىلىپ=V=سىق كەتتى=V=كەت
情感分数 = -5.4300003	غەرىبلىكلەر=N=غەرىب كۆچۈرمىكەشلىككە=A=كۆچۈرمىكەشلىك ئۆچ=A=ئۆچ ئوخشىمامدۇ=V=ئوخشا كاساپەتلەر=A=كاساپەت ئىشنى=N=ئىش چاتاق=A=چاتاق قىلدى=V=قىل !=N=!
情感分数 = -5.4300003	ئالە=V=ئال شەرىڭنى=N=شەھەر ،=V=، ئەمدى=D=ئەمدى ماۋۇ=P=ماۋۇ بەيدۇ=N=بەيدۇ دېگەن=V=دە ئېشەك=N=ئېشەك گۇي=A=گۇي زومىگەرلىكنى=A=زومىگەر باشلاپتۇ=V=باشلا
情感分数 = -5.4300003	مۇشۇ=P=مۇشۇ پاشا=N=پاشا دېگەن=V=دە جانىۋارنى=N=جانىۋار تۇتۇۋالسام=N=تۇت ،=N=، ھازىرقى=A=ھازىر ئاچچىقىمدا=N=ئاچچىق نېمە=N=نېمە قىلىۋېتەر=N=قىل ئىدىم=V=ئىدى دەيمىنا=T=دە ؟=N=؟
情感分数 = -5.4300003	بىلوگ=N=بىلوگ ئاسقۇسىنى=N=ئاسقۇ بىلوگىمغا=N=بىلوگ بېكىتسەم=V=بېكىت بىر=M=بىر يانغا=N=يان قېچىپ=V=قاچ كېتىپ=V=كەت خاپا=A=خاپا قىلىۋاتىدا=V=قىل !=N=!
情感分数 = -5.4300003	كۆللەر=N=كۆل قۇرۇپ=V=قۇر كەتسە=V=كەت كىيىن=D=كىيىن قانداق=P=قانداق قىلارمىز=V=قىل ھە=T=ھە ؟=N=؟
情感分数 = -5.4300003	يىمە=N=يىمە نامەرت=A=نامەرت ئاش-نېنىنى=N=ئاش-نان ئاچلىق=N=ئاچلىق سىنى=N=سەن ئۆلتۈرسىمۇ=V=ئۆلتۈر !=N=!
情感分数 = -5.4300003	يىگىرمە=M=يىگىرمە ئوتتۇز=M=ئوتتۇز يىل=N=يىل تونۇشماي=V=تونۇ يۈرگەن=V=يۈر قىز-يىگىتلەر=N=قىز-يىگىت تونۇشۇپ=V=تونۇش توي=N=توي قىلسا=V=قىل نىكاھ=N=نىكاھ چۈشىدىكەنۇ=N=چۈشىدۇ ،=N=، ئاجرىشىپ=N=ئاجراش كەتكەنلەر=V=كەت نەچچە=P=نەچچە يىلدىن=N=يىل كېيىن=D=كېيىن قايتا=D=قايتا نىكاھلانسا=N=نىكاھ نىكاھ=N=نىكاھ چۈشمەمدىكەن=N=چۈش ؟=N=؟
情感分数 = -5.4300003	دىيارىمىزغا=N=دىيار بارىدىغان=V=بار بېلەت=N=بېلەت ئېلىش=V=ئال مەسىلىسى=N=مەسىلە ئېغىر=A=ئېغىر مەسىلە=N=مەسىلە بولدى=V=بول !=N=!
情感分数 = -5.4300003	ئامالسىز=A=ئامالسىز كىشىلەر=N=كىشى قۇراللىق=A=قۇرال ھالدا=N=ھال چېكەتكىگە=N=چېكەتكە قارشى=A=قارشى جەڭگە=N=جەڭ ئۆتتى=V=ئۆت
情感分数 = -5.4300003	سىرتتىكى=N=سىرت دۈشمەندىن=N=دۈشمەن يېنىمىزدىكى=N=يېنى دۈشمەن=N=دۈشمەن بىزنى=P=بىز ئەڭ=D=ئەڭ بۇرۇن=N=بۇرۇن مەغلۇب=N=مەغلۇب قىلىدۇ=V=قىل .=N=.
情感分数 = -5.4300003	كاززاپ=A=كاززاپ كاززاپلىقىدىن=A=كاززاپ قىلچىلىك=N=قىلچىلىك نۇمۇس=N=نۇمۇس ھىس=N=ھىس قىلمايدۇغۇ=V=قىل ؟=N=؟
情感分数 = -5.4300003	كوللېكتىپ=N=كوللېكتىپ ئىچىدە=N=ئىچى بىر=M=بىر ناچار=A=ناچار ئادەم=N=ئادەم بولسا=V=بول ئۇنىڭ=P=ئۇنىڭ كارخانىسىدىن=N=كارخانا ئاغىرنىشلىرى=V=ئاغىرنىش ۋايساشلىرى=V=ۋايساش خىزمەتكە=N=خىزمەت تۇتقان=V=تۇت بوشاڭ=A=بوشاڭ پوزىتسىيىسى=N=پوزىتسىيە
情感分数 = -5.4300003	راست=A=راست بەكلا=D=بەك سوغۇق=A=سوغۇق بولدىغۇ=V=بول توڭلاپ=V=توڭلا كەتتۇق=V=كەت
情感分数 = -5.4300003	ئەجەبا=T=ئەجەبا كۈنلەر=N=كۈن مۇشۇنداق=P=مۇشۇنداق مەنىسىز=A=مەنىسىز ئۆتۈپ=V=ئۆت كېتەرمۇ=V=كەت ؟=N=؟
情感分数 = -5.4300003	ئىمانسىز=A=ئىمانسىز توڭگۇز=N=توڭگۇز مۇناپىقلار=A=مۇناپىق !=N=! ئۇدۇنيادا=N=ئۇدۇنيا كۆرىشىسەن=N=كۆرۈش !=N=!
情感分数 = -5.4300003	كىچىك=A=كىچىك بولغاندىكىن=V=بول بەلكىم=R=بەلكىم بىلەلمىگەندۇ=V=بىل بۇنىڭدىن=P=بۇ ئۈمىدسىزلىنىپ=V=ئۈمىدسىز كېتىش=V=كەت سەل=D=سەل بالدۇرمۇ=P=بالدۇر قانداق=P=قانداق ؟=V=؟
情感分数 = -5.4300003	دېمىسىمۇ=T=دە ھازىر=P=ھازىر يېمەكلىكلەر=N=يېمەكلىك بەك=D=بەك خەتەرلىك=A=خەتەر بولۇپ=V=بول قالىدى=V=قال مۇسۇلمانچە=N=مۇسۇلمانچە دەپ=V=دە يازغىنى=V=ياز بىلەن=R=بىلەن ئىشەنچلىك=A=ئىشەنچ ئەمەس=V=ئەمەس ئاتائانىلار=N=ئاتائانا بولسا=V=بول مۇشۇ=P=مۇشۇ نۇقتىغا=N=نۇقتا دىققەت=V=دىققەت قىلسا=V=قىل ئىمان=N=ئىمان يىمەكلىتىنمۇ=N=يىمەكلىك بولغىنىدۇ=V=بۇلغان بالىلىرىمىزنى=N=بالا ئىمانلىق=N=ئىمان چوڭ=A=چوڭ قىلىلى=V=قىل
情感分数 = -5.43	يېرىم=A=يېرىم كۈن=N=كۈن قېرىشىپ=V=قېرىش دېگەن=V=دە ئىسىمنى=N=ئىسىم تىزىملىتالمىدىم=V=تىزىم ئاكتىپلىسىڭىزلا=N=ئاكتىپ بولدى=V=بول دەپ=V=دە چىقىۋالدى=V=چىق بۇ=P=بۇ قانداق=P=قانداق ئىش=N=ئىش ؟=N=؟
情感分数 = -5.43	بىزنىڭ=P=بىز شەخسىيەتچىلىكىمىز=V=شەخسىيەتچى بىزنى=P=بىز زۇلۇمغا=N=زۇلۇم ئۇ=P=ئۇ قەدەر=R=قەدەر كۆندۈرۋەتتىكى=N=كۆندۈر ،=V=، ئۆزىمىزنىڭ=P=ئۆز ئىجتىمائىي=A=ئىجتىمائىي ،=N=، سىياسىي=A=سىياسىي ،=N=، دىنىي=A=دىن ئىقتىسادىي=A=ئىقتىساد ۋە=R=ۋە مەدەنىيەت=A=مەدەنىيەت جەھەتتىكى=N=جەھەتتە ئەركىنلىكلەرنى=N=ئەركىنلىك ئەسلىيەلمەيدىغان=V=ئەسلە بولۇپ=V=بول كەتتۇق=V=كەت .=N=.
情感分数 = -5.43	فاتىھەنىڭ=N=فاتىھە مەنىسىنى=N=مەنا كىم=P=كىم بىلىدۇ=V=بىل دەپ=V=دە نىدا=N=نىدا قىلغىنىدا=V=قىل ھېچ=P=ھېچ كىشىنىڭ=N=كىشى جاۋاب=N=جاۋاب بېرەلمەسلىكى=N=بەر ئاچچىق=A=ئاچچىق ھېسلارغا=N=ھېس چۆمدۈرىدۇ=N=چۆم .=N=.
情感分数 = -5.2900004	مەن=P=مەن چۈشەي=V=چۈش دوستلار=N=دوست ،=N=، بۈگۈن=N=بۈگۈن راستلا=A=راست بەك=D=بەك چېچىلىپ=V=چېچىل كەتتىم=V=كەت .=N=.
情感分数 = -5.29	ھىجاپنى=N=ھىجاپ ھەقىقى=N=ھەقىقى مەنىسىدە=N=مەنە چۈشەنمەي=V=چۈشەن بىشىنىلا=N=باش يۆگەپ=V=يۆگە مۆرىسىنىڭ=N=مۆرە ئاستى=N=ئاستى يەنىلا=D=يەنىلا ئاتالمىش=N=ئاتالمىش زامانىۋىلىشىشقا=V=زامانىۋىلىشىش قاراپ=V=قارا يۈز=N=يۈز تۇتىۋاتقان=V=تۇت ئاشۇ=P=ئاشۇ مەزلۇملىرىمىزنى=N=مەزلۇم كۆرسەم=V=كۆر ئىچىمدە=N=ئىچ يىغا=N=يىغا قاينايدۇ=V=قاينا
情感分数 = -5.29	ئەجداتلاردىن=N=ئەجدات تەۋرۈك=N=تەۋرۈك كىيىملەردىن=N=كىيىم ياتلاشتۇق=V=يات تەرەققىيات=N=تەرەققىيات بابىدا=N=باب نىيۇزەيكۇغا=N=نىيۇزەيكۇ ماسلاشتۇق=V=ماس ئانا=N=ئانا تىلنى=N=تىل ياراتماي=V=يارات باشقا=A=باشقا تىلدا=N=تىل سۆزلەشتۇق=V=سۆز يات=A=يات مۇقامدا=N=مۇقام توۋلىشىپ=V=توۋلا بەكمۇ=D=بەك ئەجەب=D=ئەجەب مازلاشتۇق=A=ماز تىمېسى=N=تىما ماسلاشتۇق=N=ماس داۋامى=N=داۋامى بار=A=بار كىيىنكى=N=كىيىن ساندا=N=سان
情感分数 = -5.15	شەخسىيەتچىلىكتە=N=شەخسىيەتچى ،=N=، ناكەسلىكتە=V=ناكەس شۇ=P=شۇ دەرىجىگە=N=دەرىجە باردۇقكى=N=باردۇق ،=V=، ئۆز=P=ئۆز كۈچىگە=N=كۈچ تايىنىپ=V=تايان ھەر=P=ھەر ساھەدە=N=ساھە ئىلىم=N=ئىلىم تەھسىل=N=تەھسىل قىلىشقا=V=قىل تىرىشىۋاتقان=N=تىرىش قېرىنداشلىرىمىزغا=N=قېرىنداش يامان=A=يامان كۆز=N=كۆز بىلەن=R=بىلەن قارىدۇق=N=قارا .=N=.
情感分数 = -5.005	سىنىپىمىزدا=N=سىنىپ ئۇيغۇرچە=N=ئۇيغۇرچە مىكروبىلوگلارنى=N=مىكروبىلوگ بىلىدىغانلارنىڭ=V=بىل يوق=A=يوق دىيەرلىك=V=دە ئىكەنلىكىدىن=V=ئىكەن تولىمۇ=D=تولىمۇ ئەپسۇسلاندىم=V=ئەپسۇس
情感分数 = -5.005	باھانەم=N=باھانە بار=A=بار نەرخى=N=نەرخى بەك=D=بەك قىممەتكەن=A=قىممەت
情感分数 = -5.005	4=N=4 دانە=Q=دانە بارماق=N=بارماق دىسكامنى=N=دىسكا يۈتتۈرۈپ=V=يۈتتۈر بولدۇم=V=بول ،=N=، كىچىك=A=كىچىك ۋاقتىمدا=N=ۋاقت دادام=N=دادا ئۆچۈرگۈچ=N=ئۆچۈرگۈچ ،=N=، قەلەمتۇراچلارنى=N=قەلەمتۇراچ بوينۇمغا=N=بويۇن ئېسىپ=V=ئاس قوياتتى=V=قوي ،=V=، بۇنىمۇ=P=بۇ ئېسىپ=V=ئاس قويسا=V=قوي بوپتىكەنتۇق=N=بول ،=V=، ئەجەپ=D=ئەجەپ ئاچچىقىم=N=ئاچچىق كېلىۋاتىدۇيا=N=كەل
情感分数 = -5.0000005	ئارام=N=ئارام ئېلىشنى=V=ئال بىلمەي=V=بىل دائىملا=D=دائىم ئىشلەيدىغان=V=ئىشلە ئىشۋاز=A=ئىشۋاز بىر=M=بىر بولسا=V=بول ئېغىر=A=ئېغىر قىيىنچىلىقى=A=قىيىنچىلىق بار=A=بار نامرات=A=نامرات كىشى=N=كىشى بىر=M=بىر بولسا=V=بول بالدۇر=D=بالدۇر ھاياتىنى=N=ھايات ئاخىرلاشتۇرغۇچى=V=ئاخىرلاش
